rank,name,repo,github_url,category,language,stars,forks,open_issues,created,last_update,days_since_update,trend_score,trend_rank,priority,phase,editorial_pick,pub_dev,youtube_signal,yt_search,topics,description,planned_title,slug,status
11,hiddify-app,hiddify/hiddify-app,https://github.com/hiddify/hiddify-app,UI/Components,Dart,31507,2855,71,2023-05-21,2026-06-17,29,31507,11,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+hiddify-app,"clash, clashmeta, ech, hysteria, hysteria2, proxy","Multi-platform auto-proxy client, supporting Sing-box, X-ray, TUIC, Hysteria, Reality, Trojan, SSH etc. It’s an open-source, secure and ad-free.",Build better Flutter UI with hiddify-app,hiddify-app,Planned
12,Kazumi,Predidit/Kazumi,https://github.com/Predidit/Kazumi,App/Template,Dart,27732,805,446,2024-05-09,2026-07-16,0,27732,12,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+kazumi,"android, cross-platform, danmaku, flutter, ios, linux-desktop",基于自定义规则的番剧采集APP，支持流媒体在线观看，支持弹幕，支持实时超分辨率。,Inside Kazumi: an open-source Flutter app worth studying,kazumi,Planned
13,ente,ente/ente,https://github.com/ente/ente,Library/Tooling,Dart,27730,1714,339,2022-11-01,2026-07-16,0,27730,13,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+ente,"2fa, android, authy, e2ee, encryption, end-to-end-encryption",💚 End-to-end encrypted cloud for everything.,ente: a Flutter developer's guide,ente,Planned
14,NativeScript,NativeScript/NativeScript,https://github.com/NativeScript/NativeScript,Library/Tooling,TypeScript,25553,1735,838,2015-03-01,2026-07-16,0,25553,14,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+nativescript,"android, angular, capacitor, cross-platform, flutter, ios","⚡ Write Native with TypeScript ✨ Best of all worlds (TypeScript, Swift, Objective C, Kotlin, Java, Dart). Use what you love ❤️ Angular, React, Solid, Svelte, Vu",NativeScript: a Flutter developer's guide,nativescript,Planned
15,gopeed,GopeedLab/gopeed,https://github.com/GopeedLab/gopeed,Backend/Data,Go,25265,1665,301,2019-04-21,2026-07-14,2,25265,15,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+gopeed,"android, bittorrent, cross-platform, debian, downloader, flutter","  A fast, modern download manager for HTTP, BitTorrent, Magnet, and ed2k. Cross-platform, built with Golang and Flutter.",Data & backend in Flutter using gopeed,gopeed,Planned
16,flutter-go,alibaba/flutter-go,https://github.com/alibaba/flutter-go,App/Template,Dart,23659,3764,193,2019-01-08,2023-12-11,948,5915,60,High,P2,,,High,https://www.youtube.com/results?search_query=flutter+flutter-go,"dart, flutter, flutter-demo, flutter-doc",flutter 开发者帮助 APP，包含 flutter 常用 140+ 组件的demo 演示与中文文档,Inside flutter-go: an open-source Flutter app worth studying,flutter-go,Planned
17,Best-Flutter-UI-Templates,mitesh77/Best-Flutter-UI-Templates,https://github.com/mitesh77/Best-Flutter-UI-Templates,UI/Components,Dart,22747,4820,15,2019-09-02,2025-12-16,212,10236,39,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+best-flutter-ui-templates,"cross-platform, flutter, flutter-app, flutter-apps, flutter-demo, flutter-examples",completely free for everyone. Its build-in Flutter Dart.,Build better Flutter UI with Best-Flutter-UI-Templates,best-flutter-ui-templates,Planned
18,FlutterExampleApps,iampawan/FlutterExampleApps,https://github.com/iampawan/FlutterExampleApps,App/Template,Dart,21508,3794,40,2018-04-13,2024-08-09,706,5377,67,High,P2,,,High,https://www.youtube.com/results?search_query=flutter+flutterexampleapps,"android, apps, cross-platform, dart, dartlang, flutter","[Example APPS] Basic Flutter apps, for flutter devs.",Inside FlutterExampleApps: an open-source Flutter app worth studying,flutterexampleapps,Planned
19,Some-Many-Books,Dujltqzv/Some-Many-Books,https://github.com/Dujltqzv/Some-Many-Books,AI/ML,,21272,2104,10,2021-09-05,2026-06-18,28,21272,16,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+some-many-books,,个人收藏书籍列表　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,Add AI to your Flutter app with Some-Many-Books,some-many-books,Planned
20,samples,flutter/samples,https://github.com/flutter/samples,App/Template,Dart,19208,7868,12,2018-06-08,2026-07-09,7,19208,17,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+samples,,A collection of Flutter examples and demos,Inside samples: an open-source Flutter app worth studying,samples,Planned
21,antlr4,antlr/antlr4,https://github.com/antlr/antlr4,Library/Tooling,Java,18954,3457,1071,2010-02-04,2026-02-16,150,12320,32,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+antlr4,"antlr, antlr4, cpp, csharp, dart, golang","ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files.",antlr4: a Flutter developer's guide,antlr4,Planned
22,MMKV,Tencent/MMKV,https://github.com/Tencent/MMKV,Backend/Data,C++,18670,1984,3,2018-09-17,2026-06-26,20,18670,18,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+mmkv,"android, flutter, golang, ios, key-value, kotlin","An efficient, small mobile key-value storage framework developed by WeChat. Works on Android, iOS, macOS, Windows, POSIX, and OHOS.",Data & backend in Flutter using MMKV,mmkv,Planned
23,Obtainium,ImranR98/Obtainium,https://github.com/ImranR98/Obtainium,App/Template,Dart,18260,534,366,2022-08-11,2026-07-16,0,18260,19,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+obtainium,"android, apk, apk-update, apk-updater, app-updater, automation",Get Android app updates straight from the source.,Inside Obtainium: an open-source Flutter app worth studying,obtainium,Planned
24,plugins,flutter-team-archive/plugins,https://github.com/flutter-team-archive/plugins,Library/Tooling,Dart,17717,9626,1,2017-04-18,2023-02-22,1240,4429,83,High,P2,,,Medium,https://www.youtube.com/results?search_query=flutter+plugins,"android, dart, flutter, flutter-plugin, ios, plugin",Plugins for Flutter maintained by the Flutter team,plugins: a Flutter developer's guide,plugins,Planned
25,flet,flet-dev/flet,https://github.com/flet-dev/flet,UI/Components,Python,16342,664,357,2022-03-24,2026-07-15,1,16342,20,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+flet,"android, cross-platform, desktop, flutter, ios, python","Build realtime web, mobile and desktop apps in Python only. No frontend experience required.",Build better Flutter UI with flet,flet,Planned
26,PiliPlus,bggRGjQaUbCoE/PiliPlus,https://github.com/bggRGjQaUbCoE/PiliPlus,Library/Tooling,Dart,16088,1055,65,2024-08-22,2026-07-12,4,16088,21,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+piliplus,"android, flutter, ios, linux-desktop, macos, windows",PiliPlus,PiliPlus: a Flutter developer's guide,piliplus,Planned
27,dart_simple_live,xiaoyaocz/dart_simple_live,https://github.com/xiaoyaocz/dart_simple_live,Library/Tooling,Dart,15843,2956,263,2023-02-27,2026-01-23,174,10298,38,High,P1,,https://pub.dev/packages/dart_simple_live,Medium,https://www.youtube.com/results?search_query=flutter+dart-simple-live,,简简单单的看直播,dart_simple_live: a Flutter developer's guide,dart-simple-live,Planned
28,lantern,getlantern/lantern,https://github.com/getlantern/lantern,Navigation,Dart,15800,11076,44,2011-02-17,2026-07-15,1,15800,22,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+lantern,"accelerator, censorship, circumvention, gfw, lantern, router","Open-source VPN for speed, privacy, and censorship circumvention. Free to download on Android, iOS, Windows, macOS, and Linux.",Flutter navigation done right with lantern,lantern,Planned
29,opensource-ecommerce-mobile-app,bagisto/opensource-ecommerce-mobile-app,https://github.com/bagisto/opensource-ecommerce-mobile-app,App/Template,Dart,15779,301,0,2023-10-25,2026-07-06,10,15779,23,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+opensource-ecommerce-mobile-app,"ecommerce-mobile, ecommerce-mobile-app, flutter-apps, flutter-ecommerce, flutter-ecommerce-app, laravel-ecommerce","This open-source mobile ecommerce app seamlessly transforms your Bagisto store into a powerful mobile platform, providing real-time synchronization of products ",Inside opensource-ecommerce-mobile-app: an open-source Flutter app worth studying,opensource-ecommerce-mobile-app,Planned
30,gsy_github_app_flutter,CarGuo/gsy_github_app_flutter,https://github.com/CarGuo/gsy_github_app_flutter,UI/Components,Dart,15463,2623,4,2018-07-25,2026-07-14,2,15463,24,High,P1,,https://pub.dev/packages/gsy_github_app_flutter,High,https://www.youtube.com/results?search_query=flutter+gsy-github-app-flutter,"android, cross-platform, dart, dartlang, flutter, flutter-app",Flutter 超完整的开源项目，功能丰富，适合学习和日常使用。GSYGithubApp 系列的优势：我们目前已经拥有 Flutter、Weex、ReactNative、Kotlin View、Kotlin Jetpack Compose ，Compose MultiPlatform，Harmony ArkUI 七个版,Build better Flutter UI with gsy_github_app_flutter,gsy-github-app-flutter,Planned
31,pilipala,guozhigq/pilipala,https://github.com/guozhigq/pilipala,UI/Components,Dart,13850,1050,780,2023-04-18,2025-05-14,428,3462,94,High,P2,,,High,https://www.youtube.com/results?search_query=flutter+pilipala,"bilibili, dart, flutter, material-ui",PiliPala 是使用Flutter开发的BiliBili第三方客户端，感谢使用。,Build better Flutter UI with pilipala,pilipala,Planned
32,karing,KaringX/karing,https://github.com/KaringX/karing,Library/Tooling,Dart,13660,1146,43,2023-11-06,2026-07-16,0,13660,25,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+karing,,"Simple & Powerful proxy utility, Support routing rules for clash/sing-box",karing: a Flutter developer's guide,karing,Planned
33,proxypin,wanghongenpin/proxypin,https://github.com/wanghongenpin/proxypin,Backend/Data,Dart,13537,1160,71,2023-06-05,2026-07-16,0,13537,26,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+proxypin,"capture-traffic, charles, fiddler, proxy, proxypin, zhuabao","Open source free capture HTTP(S) traffic  software ProxyPin, supporting full platform systems",Data & backend in Flutter using proxypin,proxypin,Planned
34,supertonic,supertone-inc/supertonic,https://github.com/supertone-inc/supertonic,Library/Tooling,Swift,13196,1358,123,2025-11-18,2026-06-30,16,13196,27,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+supertonic,"cpp, csharp, flutter, go, ios, java","Lightning-Fast, On-Device, Multilingual TTS — running natively via ONNX.",supertonic: a Flutter developer's guide,supertonic,Planned
35,omi,BasedHardware/omi,https://github.com/BasedHardware/omi,AI/ML,Dart,13024,2121,712,2024-03-22,2026-07-16,0,13024,28,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+omi,"ai, app, bci, c, flutter, friend","AI that sees your screen, listens to your conversations and tells you what to do",Add AI to your Flutter app with omi,omi,Planned
36,dio,cfug/dio,https://github.com/cfug/dio,Backend/Data,Dart,12830,1560,34,2018-04-20,2026-07-14,2,12830,29,High,P1,Yes,https://pub.dev/packages/dio,Medium,https://www.youtube.com/results?search_query=flutter+dio,"adapter, cancellable, dart, dio, flutter, http","A powerful HTTP client for Dart and Flutter, which supports global settings, Interceptors, FormData, aborting and canceling a request, files uploading and downl",Data & backend in Flutter using dio,dio,Planned
37,bloc,felangel/bloc,https://github.com/felangel/bloc,State management,Dart,12474,3417,71,2018-10-07,2026-07-15,1,12474,30,High,P1,Yes,https://pub.dev/packages/bloc,High,https://www.youtube.com/results?search_query=flutter+bloc,"angulardart, bloc, concurrency, dart, dart-library, dart-web",A predictable state management library that helps implement the BLoC design pattern,State management in Flutter with bloc: a practical guide,bloc,Planned
38,pixez-flutter,Notsfsssf/pixez-flutter,https://github.com/Notsfsssf/pixez-flutter,Library/Tooling,Dart,12336,450,486,2019-11-02,2026-07-12,4,12336,31,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+pixez-flutter,"android, flutter, ios, pixez, pixiv",一个支持免代理直连及查看动图的第三方Pixiv flutter客户端,pixez-flutter: a Flutter developer's guide,pixez-flutter,Planned
39,sdk,dart-lang/sdk,https://github.com/dart-lang/sdk,Framework/Core,Dart,11211,1849,8409,2015-05-16,2026-07-16,0,11211,33,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+sdk,"dart, language, programming-language, sdk","The Dart SDK, including the VM, JS and Wasm compilers, analysis, core libraries, and more.",sdk: what powers Flutter and why it matters,sdk,Planned
40,getx,jonataslaw/getx,https://github.com/jonataslaw/getx,State management,Dart,11191,1849,1172,2019-11-14,2026-06-12,34,9512,41,High,P1,Yes,https://pub.dev/packages/getx,High,https://www.youtube.com/results?search_query=flutter+getx,"dart, dependency-injection, flutter, framework, get, getx","Open screens/snackbars/dialogs/bottomSheets without context, manage states and inject dependencies easily with Get.",State management in Flutter with getx: a practical guide,getx,Planned
41,thrift,apache/thrift,https://github.com/apache/thrift,Library/Tooling,C++,10934,4111,10,2009-09-18,2026-07-15,1,10934,34,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+thrift,"actionscript, c, cplusplus, csharp, d, dart",Apache Thrift,thrift: a Flutter developer's guide,thrift,Planned
42,fluentui-system-icons,microsoft/fluentui-system-icons,https://github.com/microsoft/fluentui-system-icons,UI/Components,HTML,10689,790,213,2020-05-12,2026-07-16,0,10689,35,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+fluentui-system-icons,"android, design, fluent, flutter, icons, ios","Fluent System Icons are a collection of familiar, friendly and modern icons from Microsoft.",Build better Flutter UI with fluentui-system-icons,fluentui-system-icons,Planned
43,flame,flame-engine/flame,https://github.com/flame-engine/flame,Library/Tooling,Dart,10670,1030,82,2017-10-22,2026-07-06,10,10670,36,High,P1,,,Medium,https://www.youtube.com/results?search_query=flutter+flame,"dart, flame, flutter, game, game-development, game-engine",A Flutter based game engine.,flame: a Flutter developer's guide,flame,Planned
44,venera,venera-app/venera,https://github.com/venera-app/venera,App/Template,Dart,10536,512,143,2024-09-29,2026-04-05,102,6848,54,High,P2,,,High,https://www.youtube.com/results?search_query=flutter+venera,"android-app, comic, flutter, ios-app, linux, macos-app",A comic app,Inside venera: an open-source Flutter app worth studying,venera,Planned
45,Flutter-Course-Resources,londonappbrewery/Flutter-Course-Resources,https://github.com/londonappbrewery/Flutter-Course-Resources,Learning/Awesome,,10516,3099,56,2019-02-25,2024-07-01,745,2629,118,High,P3,,,Medium,https://www.youtube.com/results?search_query=flutter+flutter-course-resources,,Learn to Code While Building Apps - The Complete Flutter Development Bootcamp,Flutter-Course-Resources: a curated shortcut to mastering Flutter,flutter-course-resources,Planned
46,runanywhere-sdks,RunanywhereAI/runanywhere-sdks,https://github.com/RunanywhereAI/runanywhere-sdks,AI/ML,C++,10309,364,21,2025-07-22,2026-07-16,0,10309,37,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+runanywhere-sdks,"android, apple-intelligence, cpp, diffusion-models, edge, flutter",Production ready toolkit to run AI locally,Add AI to your Flutter app with runanywhere-sdks,runanywhere-sdks,Planned
47,invoiceninja,invoiceninja/invoiceninja,https://github.com/invoiceninja/invoiceninja,UI/Components,PHP,9887,2668,926,2013-11-26,2026-07-15,1,9887,40,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+invoiceninja,"einvoicing, expenses, flutter, hacktoberfest, invoice, invoiceninja","A source-available invoice, quote, project and time-tracking app built with Laravel",Build better Flutter UI with invoiceninja,invoiceninja,Planned
48,nhost,nhost/nhost,https://github.com/nhost/nhost,Backend/Data,Go,9242,601,128,2021-02-09,2026-07-16,0,9242,42,High,P1,,,Low,https://www.youtube.com/results?search_query=flutter+nhost,"authentication, backend, backend-as-a-service, database, firebase, flutter",The Open Source Firebase Alternative with GraphQL.,Data & backend in Flutter using nhost,nhost,Planned
49,flutterfire,firebase/flutterfire,https://github.com/firebase/flutterfire,Backend/Data,Dart,9235,4097,117,2019-08-14,2026-07-16,0,9235,43,High,P1,,,Low,https://www.youtube.com/results?search_query=flutter+flutterfire,"dart, firebase, flutter, google",🔥 A collection of Firebase plugins for Flutter apps.,Data & backend in Flutter using flutterfire,flutterfire,Planned
50,FlutterDouBan,kaina404/FlutterDouBan,https://github.com/kaina404/FlutterDouBan,Backend/Data,Dart,9102,1877,52,2019-01-21,2024-03-20,848,2276,130,High,P3,,,Low,https://www.youtube.com/results?search_query=flutter+flutterdouban,"android, dart, flutter, ios","🔥🔥🔥Flutter豆瓣客户端,Awesome Flutter Project,全网最100%还原豆瓣客户端。首页、书影音、小组、市集及个人中心，一个不拉。（ https://img.xuvip.top/douyademo.mp4）",Data & backend in Flutter using FlutterDouBan,flutterdouban,Planned
51,flutter_architecture_samples,brianegan/flutter_architecture_samples,https://github.com/brianegan/flutter_architecture_samples,State management,Dart,8924,1711,48,2017-11-25,2025-11-06,252,4016,91,High,P2,,https://pub.dev/packages/flutter_architecture_samples,High,https://www.youtube.com/results?search_query=flutter+flutter-architecture-samples,"dart, flutter, redux",TodoMVC for Flutter,State management in Flutter with flutter_architecture_samples: a practical guide,flutter-architecture-samples,Planned
52,FlutterUnit,toly1994328/FlutterUnit,https://github.com/toly1994328/FlutterUnit,UI/Components,Dart,8838,1410,71,2020-03-19,2026-02-08,158,5745,62,High,P2,,,High,https://www.youtube.com/results?search_query=flutter+flutterunit,"dart, flutter, learning, painting, widget-library",All Platform Flutter Experience App ,Build better Flutter UI with FlutterUnit,flutterunit,Planned
53,PicaComic,wgh136/PicaComic,https://github.com/wgh136/PicaComic,UI/Components,Dart,8657,1070,56,2023-02-06,2024-12-21,572,2164,138,High,P3,,,High,https://www.youtube.com/results?search_query=flutter+picacomic,"android-application, dart, e-hentai, flutter, hitomi-la, ios-app","A comic app built with Flutter, supporting multiple comic sources.",Build better Flutter UI with PicaComic,picacomic,Planned
54,flutter-in-action,flutterchina/flutter-in-action,https://github.com/flutterchina/flutter-in-action,Library/Tooling,JavaScript,8607,1658,121,2018-11-29,2022-12-14,1310,2152,139,High,P3,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-in-action,"flutter, flutter-book",《Flutter实战》书稿。第二版书稿已上传，请移步新Repo。,flutter-in-action: a Flutter developer's guide,flutter-in-action,Planned
55,flutter_deer,simplezhli/flutter_deer,https://github.com/simplezhli/flutter_deer,UI/Components,Dart,8596,1760,0,2019-06-12,2026-06-07,39,7307,49,High,P1,,https://pub.dev/packages/flutter_deer,High,https://www.youtube.com/results?search_query=flutter+flutter-deer,"amap, android, chart, citypicker, customview, dart",🦌 Flutter 练习项目(包括集成测试、可访问性测试)。内含完整UI设计图，更贴近真实项目的练习。Flutter practice project (including integration testing and accessibility testing). Contains complete UI des,Build better Flutter UI with flutter_deer,flutter-deer,Planned
56,roadmap-retos-programacion,mouredev/roadmap-retos-programacion,https://github.com/mouredev/roadmap-retos-programacion,Learning/Awesome,Python,8503,6164,4,2023-12-18,2026-07-16,0,8503,44,High,P1,,,Low,https://www.youtube.com/results?search_query=flutter+roadmap-retos-programacion,"c-plus-plus, c-sharp, dart, ejercicios, go, java",Ruta de estudio basada en ejercicios de código de la comunidad MoureDev para aprender y practicar lógica usando cualquier lenguaje de programación.,roadmap-retos-programacion: a curated shortcut to mastering Flutter,roadmap-retos-programacion,Planned
57,anx-reader,Anxcye/anx-reader,https://github.com/Anxcye/anx-reader,AI/ML,Dart,8437,572,129,2024-03-28,2026-06-07,39,7171,50,High,P1,,,High,https://www.youtube.com/results?search_query=flutter+anx-reader,"dart, ebook-reader, flutter","Featuring powerful AI capabilities and supporting various e-book formats, it makes reading smarter and more focused. ",Add AI to your Flutter app with anx-reader,anx-reader,Planned
58,clashmi,KaringX/clashmi,https://github.com/KaringX/clashmi,Library/Tooling,Dart,8369,499,1,2025-04-14,2026-07-13,3,8369,45,High,P1,,,Low,https://www.youtube.com/results?search_query=flutter+clashmi,"clash, clashmi, mihomo",Clash Mihomo for iOS/MacOS/Android/Windows/Linux,clashmi: a Flutter developer's guide,clashmi,Planned
59,pikapika,ComicSparks/pikapika,https://github.com/ComicSparks/pikapika,Library/Tooling,Dart,8221,490,8,2021-07-27,2026-06-26,20,8221,46,High,P1,,,Low,https://www.youtube.com/results?search_query=flutter+pikapika,"acg, android, bika, comic-books, cosplay, cross-platform",A comic browser，support Android / iOS / MacOS / Windows / Linux.,pikapika: a Flutter developer's guide,pikapika,Planned
60,flutter_server_box,lollipopkit/flutter_server_box,https://github.com/lollipopkit/flutter_server_box,Library/Tooling,Dart,8150,503,11,2021-09-13,2026-07-16,0,8150,47,High,P1,,https://pub.dev/packages/flutter_server_box,Low,https://www.youtube.com/results?search_query=flutter+flutter-server-box,"android, dart, flutter, ios, server, ssh",ServerBox - server status & toolbox,flutter_server_box: a Flutter developer's guide,flutter-server-box,Planned
61,fl_chart,imaNNeo/fl_chart,https://github.com/imaNNeo/fl_chart,UI/Components,Dart,7554,1967,400,2019-05-12,2026-04-29,78,6421,56,High,P2,,https://pub.dev/packages/fl_chart,High,https://www.youtube.com/results?search_query=flutter+fl-chart,"barchart, candlestick, candlestick-chart, candlesticks, chart, charts","FL Chart is a highly customizable Flutter chart library that supports Line Chart, Bar Chart, Pie Chart, Scatter Chart, Radar Chart and Candlestick Chart.",Build better Flutter UI with fl_chart,fl-chart,Planned
62,riverpod,rrousselGit/riverpod,https://github.com/rrousselGit/riverpod,State management,Dart,7336,1097,172,2020-04-16,2026-07-15,1,7336,48,High,P1,Yes,https://pub.dev/packages/riverpod,High,https://www.youtube.com/results?search_query=flutter+riverpod,"dart, flutter, hacktoberfest, inheritedwidget, provider, riverpod",A reactive caching and data-binding framework.   Riverpod makes working with asynchronous code a breeze.,State management in Flutter with riverpod: a practical guide,riverpod,Planned
63,fish-redux,alibaba/fish-redux,https://github.com/alibaba/fish-redux,State management,Dart,7273,832,164,2019-03-05,2022-02-17,1610,1818,160,Medium,P4,,,High,https://www.youtube.com/results?search_query=flutter+fish-redux,"adapter, aop, component, flutter, framework, functional-programming",An assembled flutter application framework.,State management in Flutter with fish-redux: a practical guide,fish-redux,Planned
64,Flutter-Notebook,OpenFlutter/Flutter-Notebook,https://github.com/OpenFlutter/Flutter-Notebook,Library/Tooling,Dart,7206,1182,0,2018-07-26,2021-04-14,1919,1802,162,Medium,P4,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-notebook,"flutter, flutter-demo",FlutterDemo合集，今天你fu了吗,Flutter-Notebook: a Flutter developer's guide,flutter-notebook,Planned
65,flutter_boost,alibaba/flutter_boost,https://github.com/alibaba/flutter_boost,App/Template,Dart,7191,1271,419,2019-03-06,2026-06-09,37,6112,57,High,P2,,https://pub.dev/packages/flutter_boost,High,https://www.youtube.com/results?search_query=flutter+flutter-boost,"android, dart, flutter, hybrid-app, hybrid-flutter, ios",FlutterBoost is a Flutter plugin which enables hybrid integration of Flutter for your existing native apps with minimum efforts,Inside flutter_boost: an open-source Flutter app worth studying,flutter-boost,Planned
66,flutter-examples,nisrulz/flutter-examples,https://github.com/nisrulz/flutter-examples,App/Template,Dart,7149,1645,16,2017-08-11,2024-05-27,780,1787,164,Medium,P4,,,High,https://www.youtube.com/results?search_query=flutter+flutter-examples,"android, application-framework, cross-platform, dart, dartlang, flutter","[Examples] Simple basic isolated apps, for budding flutter devs.",Inside flutter-examples: an open-source Flutter app worth studying,flutter-examples,Planned
